D, [2016-06-27T18:23:26.498814 #9224] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"_id"=>BSON::ObjectId('5770b66612a5480a62000001')}, :project=>nil, :skip=>nil, :limit=>nil, :flags=>[:slave_ok]}
D, [2016-06-27T18:23:26.499606 #9224] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000814714s
D, [2016-06-27T18:29:39.029858 #9502] DEBUG -- : MONGODB | Adding localhost:27017 to the cluster. | runtime: 0.0308ms
D, [2016-06-27T18:29:39.031933 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"monthly_invoice_date"=>"27"}, :project=>nil, :skip=>nil, :limit=>nil, :flags=>[:slave_ok]}
D, [2016-06-27T18:29:39.032851 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000934332s
D, [2016-06-27T18:29:39.062602 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"_id"=>BSON::ObjectId('5767ec2612a5481dae000001')}, :project=>nil, :skip=>nil, :limit=>nil, :flags=>[:slave_ok]}
D, [2016-06-27T18:29:39.063454 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000888005s
D, [2016-06-27T18:29:39.082754 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"merchant_id"=>BSON::ObjectId('5767ec2612a5481dae000001'), "device_status"=>"active"}, :project=>nil, :skip=>nil, :limit=>nil, :flags=>[:slave_ok]}
D, [2016-06-27T18:29:39.083581 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000861816s
D, [2016-06-27T18:29:39.101138 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.count | STARTED | {:count=>"transactions", :query=>{"device_id"=>BSON::ObjectId('5767ec6612a5481dae000005'), "transaction_status"=>"paid", "created_at"=>{"$gte"=>2016-05-27 12:59:39 UTC, "$lte"=>2016-06-27 12:59:39 UTC}}}
D, [2016-06-27T18:29:39.101946 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.count | SUCCEEDED | 0.000846203s
D, [2016-06-27T18:29:39.102875 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.count | STARTED | {:count=>"transactions", :query=>{"device_id"=>BSON::ObjectId('5768e0d912a5480944000012'), "transaction_status"=>"paid", "created_at"=>{"$gte"=>2016-05-27 12:59:39 UTC, "$lte"=>2016-06-27 12:59:39 UTC}}}
D, [2016-06-27T18:29:39.103528 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.count | SUCCEEDED | 0.000675404s
D, [2016-06-27T18:29:39.103891 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"merchant_id"=>BSON::ObjectId('5767ec2612a5481dae000001'), "device_status"=>"active"}, :project=>{:_id=>1}, :skip=>nil, :limit=>1, :flags=>[:slave_ok]}
D, [2016-06-27T18:29:39.104372 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000507364s
D, [2016-06-27T18:29:39.104645 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"merchant_id"=>BSON::ObjectId('5767ec2612a5481dae000001'), "device_status"=>"active"}, :project=>nil, :skip=>nil, :limit=>nil, :flags=>[:slave_ok, :slave_ok]}
D, [2016-06-27T18:29:39.105305 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000681678s
D, [2016-06-27T18:29:39.106268 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.count | STARTED | {:count=>"devices", :query=>{"merchant_id"=>BSON::ObjectId('5767ec2612a5481dae000001'), "device_status"=>"active"}}
D, [2016-06-27T18:29:39.106806 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.count | SUCCEEDED | 0.00055226s
D, [2016-06-27T18:29:39.107482 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | STARTED | {:filter=>{"_id"=>BSON::ObjectId('5770b66612a5480a62000001')}, :project=>nil, :skip=>nil, :limit=>nil, :flags=>[:slave_ok]}
D, [2016-06-27T18:29:39.108206 #9502] DEBUG -- : MONGODB | localhost:27017 | epspro_development.find | SUCCEEDED | 0.000745862s
